dataset,instancia,n,R,archivo
factibilidad-prom,PROM-F-1,1,2,instancias/factibilidad-prom/PROM-F-1.txt
factibilidad-prom,PROM-F-2,2,4,instancias/factibilidad-prom/PROM-F-2.txt
factibilidad-prom,PROM-F-3,3,6,instancias/factibilidad-prom/PROM-F-3.txt
factibilidad-prom,PROM-F-4,4,8,instancias/factibilidad-prom/PROM-F-4.txt
factibilidad-prom,PROM-F-5,5,10,instancias/factibilidad-prom/PROM-F-5.txt
factibilidad-prom,PROM-F-6,6,12,instancias/factibilidad-prom/PROM-F-6.txt
factibilidad-prom,PROM-F-7,7,14,instancias/factibilidad-prom/PROM-F-7.txt
factibilidad-prom,PROM-F-8,8,16,instancias/factibilidad-prom/PROM-F-8.txt
factibilidad-prom,PROM-F-9,9,18,instancias/factibilidad-prom/PROM-F-9.txt
factibilidad-prom,PROM-F-10,10,20,instancias/factibilidad-prom/PROM-F-10.txt
factibilidad-prom,PROM-F-11,11,22,instancias/factibilidad-prom/PROM-F-11.txt
factibilidad-prom,PROM-F-12,12,24,instancias/factibilidad-prom/PROM-F-12.txt
factibilidad-prom,PROM-F-13,13,26,instancias/factibilidad-prom/PROM-F-13.txt
factibilidad-prom,PROM-F-14,14,28,instancias/factibilidad-prom/PROM-F-14.txt
factibilidad-prom,PROM-F-15,15,30,instancias/factibilidad-prom/PROM-F-15.txt
factibilidad-prom,PROM-F-16,16,32,instancias/factibilidad-prom/PROM-F-16.txt
factibilidad-prom,PROM-F-17,17,34,instancias/factibilidad-prom/PROM-F-17.txt
factibilidad-prom,PROM-F-18,18,36,instancias/factibilidad-prom/PROM-F-18.txt
factibilidad-prom,PROM-F-19,19,38,instancias/factibilidad-prom/PROM-F-19.txt
factibilidad-prom,PROM-F-20,20,40,instancias/factibilidad-prom/PROM-F-20.txt
factibilidad-prom,PROM-F-21,21,42,instancias/factibilidad-prom/PROM-F-21.txt
factibilidad-prom,PROM-F-22,22,44,instancias/factibilidad-prom/PROM-F-22.txt
factibilidad-prom,PROM-F-23,23,46,instancias/factibilidad-prom/PROM-F-23.txt
factibilidad-prom,PROM-F-24,24,48,instancias/factibilidad-prom/PROM-F-24.txt
factibilidad-prom,PROM-F-25,25,50,instancias/factibilidad-prom/PROM-F-25.txt
factibilidad-prom,PROM-F-26,26,52,instancias/factibilidad-prom/PROM-F-26.txt
factibilidad-prom,PROM-F-27,27,54,instancias/factibilidad-prom/PROM-F-27.txt
factibilidad-prom,PROM-F-28,28,56,instancias/factibilidad-prom/PROM-F-28.txt
factibilidad-prom,PROM-F-29,29,58,instancias/factibilidad-prom/PROM-F-29.txt
factibilidad-prom,PROM-F-30,30,60,instancias/factibilidad-prom/PROM-F-30.txt
factibilidad-prom,PROM-F-31,31,62,instancias/factibilidad-prom/PROM-F-31.txt
factibilidad-prom,PROM-F-32,32,64,instancias/factibilidad-prom/PROM-F-32.txt
factibilidad-prom,PROM-F-33,33,66,instancias/factibilidad-prom/PROM-F-33.txt
factibilidad-prom,PROM-F-34,34,68,instancias/factibilidad-prom/PROM-F-34.txt
factibilidad-prom,PROM-F-35,35,70,instancias/factibilidad-prom/PROM-F-35.txt
factibilidad-prom,PROM-F-36,36,72,instancias/factibilidad-prom/PROM-F-36.txt
factibilidad-prom,PROM-F-37,37,74,instancias/factibilidad-prom/PROM-F-37.txt
factibilidad-prom,PROM-F-38,38,76,instancias/factibilidad-prom/PROM-F-38.txt
factibilidad-prom,PROM-F-39,39,78,instancias/factibilidad-prom/PROM-F-39.txt
factibilidad-prom,PROM-F-40,40,80,instancias/factibilidad-prom/PROM-F-40.txt
factibilidad-prom,PROM-F-41,41,82,instancias/factibilidad-prom/PROM-F-41.txt
factibilidad-prom,PROM-F-42,42,84,instancias/factibilidad-prom/PROM-F-42.txt
factibilidad-prom,PROM-F-43,43,86,instancias/factibilidad-prom/PROM-F-43.txt
factibilidad-prom,PROM-F-44,44,88,instancias/factibilidad-prom/PROM-F-44.txt
factibilidad-prom,PROM-F-45,45,90,instancias/factibilidad-prom/PROM-F-45.txt
factibilidad-prom,PROM-F-46,46,92,instancias/factibilidad-prom/PROM-F-46.txt
factibilidad-prom,PROM-F-47,47,94,instancias/factibilidad-prom/PROM-F-47.txt
factibilidad-prom,PROM-F-48,48,96,instancias/factibilidad-prom/PROM-F-48.txt
factibilidad-prom,PROM-F-49,49,98,instancias/factibilidad-prom/PROM-F-49.txt
factibilidad-prom,PROM-F-50,50,100,instancias/factibilidad-prom/PROM-F-50.txt
factibilidad-prom,PROM-F-51,51,102,instancias/factibilidad-prom/PROM-F-51.txt
factibilidad-prom,PROM-F-52,52,104,instancias/factibilidad-prom/PROM-F-52.txt
factibilidad-prom,PROM-F-53,53,106,instancias/factibilidad-prom/PROM-F-53.txt
factibilidad-prom,PROM-F-54,54,108,instancias/factibilidad-prom/PROM-F-54.txt
factibilidad-prom,PROM-F-55,55,110,instancias/factibilidad-prom/PROM-F-55.txt
factibilidad-prom,PROM-F-56,56,112,instancias/factibilidad-prom/PROM-F-56.txt
factibilidad-prom,PROM-F-57,57,114,instancias/factibilidad-prom/PROM-F-57.txt
factibilidad-prom,PROM-F-58,58,116,instancias/factibilidad-prom/PROM-F-58.txt
factibilidad-prom,PROM-F-59,59,118,instancias/factibilidad-prom/PROM-F-59.txt
factibilidad-prom,PROM-F-60,60,120,instancias/factibilidad-prom/PROM-F-60.txt
factibilidad-prom,PROM-F-61,61,122,instancias/factibilidad-prom/PROM-F-61.txt
factibilidad-prom,PROM-F-62,62,124,instancias/factibilidad-prom/PROM-F-62.txt
factibilidad-prom,PROM-F-63,63,126,instancias/factibilidad-prom/PROM-F-63.txt
factibilidad-prom,PROM-F-64,64,128,instancias/factibilidad-prom/PROM-F-64.txt
factibilidad-prom,PROM-F-65,65,130,instancias/factibilidad-prom/PROM-F-65.txt
factibilidad-prom,PROM-F-66,66,132,instancias/factibilidad-prom/PROM-F-66.txt
factibilidad-prom,PROM-F-67,67,134,instancias/factibilidad-prom/PROM-F-67.txt
factibilidad-prom,PROM-F-68,68,136,instancias/factibilidad-prom/PROM-F-68.txt
factibilidad-prom,PROM-F-69,69,138,instancias/factibilidad-prom/PROM-F-69.txt
factibilidad-prom,PROM-F-70,70,140,instancias/factibilidad-prom/PROM-F-70.txt
factibilidad-prom,PROM-F-71,71,142,instancias/factibilidad-prom/PROM-F-71.txt
factibilidad-prom,PROM-F-72,72,144,instancias/factibilidad-prom/PROM-F-72.txt
factibilidad-prom,PROM-F-73,73,146,instancias/factibilidad-prom/PROM-F-73.txt
factibilidad-prom,PROM-F-74,74,148,instancias/factibilidad-prom/PROM-F-74.txt
factibilidad-prom,PROM-F-75,75,150,instancias/factibilidad-prom/PROM-F-75.txt
factibilidad-prom,PROM-F-76,76,152,instancias/factibilidad-prom/PROM-F-76.txt
factibilidad-prom,PROM-F-77,77,154,instancias/factibilidad-prom/PROM-F-77.txt
factibilidad-prom,PROM-F-78,78,156,instancias/factibilidad-prom/PROM-F-78.txt
factibilidad-prom,PROM-F-79,79,158,instancias/factibilidad-prom/PROM-F-79.txt
