dataset,instancia,n,R,archivo
mejor-caso-bt,BT-MC-1,1,27,instancias/mejor-caso-bt/BT-MC-1.txt
mejor-caso-bt,BT-MC-2,2,27,instancias/mejor-caso-bt/BT-MC-2.txt
mejor-caso-bt,BT-MC-3,3,27,instancias/mejor-caso-bt/BT-MC-3.txt
mejor-caso-bt,BT-MC-4,4,27,instancias/mejor-caso-bt/BT-MC-4.txt
mejor-caso-bt,BT-MC-5,5,27,instancias/mejor-caso-bt/BT-MC-5.txt
mejor-caso-bt,BT-MC-6,6,27,instancias/mejor-caso-bt/BT-MC-6.txt
mejor-caso-bt,BT-MC-7,7,27,instancias/mejor-caso-bt/BT-MC-7.txt
mejor-caso-bt,BT-MC-8,8,27,instancias/mejor-caso-bt/BT-MC-8.txt
mejor-caso-bt,BT-MC-9,9,27,instancias/mejor-caso-bt/BT-MC-9.txt
mejor-caso-bt,BT-MC-10,10,27,instancias/mejor-caso-bt/BT-MC-10.txt
mejor-caso-bt,BT-MC-11,11,27,instancias/mejor-caso-bt/BT-MC-11.txt
mejor-caso-bt,BT-MC-12,12,27,instancias/mejor-caso-bt/BT-MC-12.txt
mejor-caso-bt,BT-MC-13,13,27,instancias/mejor-caso-bt/BT-MC-13.txt
mejor-caso-bt,BT-MC-14,14,27,instancias/mejor-caso-bt/BT-MC-14.txt
mejor-caso-bt,BT-MC-15,15,27,instancias/mejor-caso-bt/BT-MC-15.txt
mejor-caso-bt,BT-MC-16,16,27,instancias/mejor-caso-bt/BT-MC-16.txt
mejor-caso-bt,BT-MC-17,17,27,instancias/mejor-caso-bt/BT-MC-17.txt
mejor-caso-bt,BT-MC-18,18,27,instancias/mejor-caso-bt/BT-MC-18.txt
mejor-caso-bt,BT-MC-19,19,27,instancias/mejor-caso-bt/BT-MC-19.txt
mejor-caso-bt,BT-MC-20,20,27,instancias/mejor-caso-bt/BT-MC-20.txt
mejor-caso-bt,BT-MC-21,21,27,instancias/mejor-caso-bt/BT-MC-21.txt
mejor-caso-bt,BT-MC-22,22,27,instancias/mejor-caso-bt/BT-MC-22.txt
mejor-caso-bt,BT-MC-23,23,27,instancias/mejor-caso-bt/BT-MC-23.txt
mejor-caso-bt,BT-MC-24,24,27,instancias/mejor-caso-bt/BT-MC-24.txt
mejor-caso-bt,BT-MC-25,25,27,instancias/mejor-caso-bt/BT-MC-25.txt
mejor-caso-bt,BT-MC-26,26,27,instancias/mejor-caso-bt/BT-MC-26.txt
mejor-caso-bt,BT-MC-27,27,27,instancias/mejor-caso-bt/BT-MC-27.txt
mejor-caso-bt,BT-MC-28,28,27,instancias/mejor-caso-bt/BT-MC-28.txt
mejor-caso-bt,BT-MC-29,29,27,instancias/mejor-caso-bt/BT-MC-29.txt
mejor-caso-bt,BT-MC-30,30,27,instancias/mejor-caso-bt/BT-MC-30.txt
mejor-caso-bt,BT-MC-31,31,27,instancias/mejor-caso-bt/BT-MC-31.txt
mejor-caso-bt,BT-MC-32,32,27,instancias/mejor-caso-bt/BT-MC-32.txt
mejor-caso-bt,BT-MC-33,33,27,instancias/mejor-caso-bt/BT-MC-33.txt
mejor-caso-bt,BT-MC-34,34,27,instancias/mejor-caso-bt/BT-MC-34.txt
mejor-caso-bt,BT-MC-35,35,27,instancias/mejor-caso-bt/BT-MC-35.txt
mejor-caso-bt,BT-MC-36,36,27,instancias/mejor-caso-bt/BT-MC-36.txt
mejor-caso-bt,BT-MC-37,37,27,instancias/mejor-caso-bt/BT-MC-37.txt
mejor-caso-bt,BT-MC-38,38,27,instancias/mejor-caso-bt/BT-MC-38.txt
mejor-caso-bt,BT-MC-39,39,27,instancias/mejor-caso-bt/BT-MC-39.txt
mejor-caso-bt,BT-MC-40,40,27,instancias/mejor-caso-bt/BT-MC-40.txt
mejor-caso-bt,BT-MC-41,41,27,instancias/mejor-caso-bt/BT-MC-41.txt
mejor-caso-bt,BT-MC-42,42,27,instancias/mejor-caso-bt/BT-MC-42.txt
mejor-caso-bt,BT-MC-43,43,27,instancias/mejor-caso-bt/BT-MC-43.txt
mejor-caso-bt,BT-MC-44,44,27,instancias/mejor-caso-bt/BT-MC-44.txt
mejor-caso-bt,BT-MC-45,45,27,instancias/mejor-caso-bt/BT-MC-45.txt
mejor-caso-bt,BT-MC-46,46,27,instancias/mejor-caso-bt/BT-MC-46.txt
mejor-caso-bt,BT-MC-47,47,27,instancias/mejor-caso-bt/BT-MC-47.txt
mejor-caso-bt,BT-MC-48,48,27,instancias/mejor-caso-bt/BT-MC-48.txt
mejor-caso-bt,BT-MC-49,49,27,instancias/mejor-caso-bt/BT-MC-49.txt
mejor-caso-bt,BT-MC-50,50,27,instancias/mejor-caso-bt/BT-MC-50.txt
mejor-caso-bt,BT-MC-51,51,27,instancias/mejor-caso-bt/BT-MC-51.txt
mejor-caso-bt,BT-MC-52,52,27,instancias/mejor-caso-bt/BT-MC-52.txt
