dataset,instancia,n,R,archivo
optimalidad-prom,PROM-O-1,1,2,instancias/optimalidad-prom/PROM-O-1.txt
optimalidad-prom,PROM-O-2,2,4,instancias/optimalidad-prom/PROM-O-2.txt
optimalidad-prom,PROM-O-3,3,6,instancias/optimalidad-prom/PROM-O-3.txt
optimalidad-prom,PROM-O-4,4,8,instancias/optimalidad-prom/PROM-O-4.txt
optimalidad-prom,PROM-O-5,5,10,instancias/optimalidad-prom/PROM-O-5.txt
optimalidad-prom,PROM-O-6,6,12,instancias/optimalidad-prom/PROM-O-6.txt
optimalidad-prom,PROM-O-7,7,14,instancias/optimalidad-prom/PROM-O-7.txt
optimalidad-prom,PROM-O-8,8,16,instancias/optimalidad-prom/PROM-O-8.txt
optimalidad-prom,PROM-O-9,9,18,instancias/optimalidad-prom/PROM-O-9.txt
optimalidad-prom,PROM-O-10,10,20,instancias/optimalidad-prom/PROM-O-10.txt
optimalidad-prom,PROM-O-11,11,22,instancias/optimalidad-prom/PROM-O-11.txt
optimalidad-prom,PROM-O-12,12,24,instancias/optimalidad-prom/PROM-O-12.txt
optimalidad-prom,PROM-O-13,13,26,instancias/optimalidad-prom/PROM-O-13.txt
optimalidad-prom,PROM-O-14,14,28,instancias/optimalidad-prom/PROM-O-14.txt
optimalidad-prom,PROM-O-15,15,30,instancias/optimalidad-prom/PROM-O-15.txt
optimalidad-prom,PROM-O-16,16,32,instancias/optimalidad-prom/PROM-O-16.txt
optimalidad-prom,PROM-O-17,17,34,instancias/optimalidad-prom/PROM-O-17.txt
optimalidad-prom,PROM-O-18,18,36,instancias/optimalidad-prom/PROM-O-18.txt
optimalidad-prom,PROM-O-19,19,38,instancias/optimalidad-prom/PROM-O-19.txt
optimalidad-prom,PROM-O-20,20,40,instancias/optimalidad-prom/PROM-O-20.txt
optimalidad-prom,PROM-O-21,21,42,instancias/optimalidad-prom/PROM-O-21.txt
optimalidad-prom,PROM-O-22,22,44,instancias/optimalidad-prom/PROM-O-22.txt
optimalidad-prom,PROM-O-23,23,46,instancias/optimalidad-prom/PROM-O-23.txt
optimalidad-prom,PROM-O-24,24,48,instancias/optimalidad-prom/PROM-O-24.txt
optimalidad-prom,PROM-O-25,25,50,instancias/optimalidad-prom/PROM-O-25.txt
optimalidad-prom,PROM-O-26,26,52,instancias/optimalidad-prom/PROM-O-26.txt
optimalidad-prom,PROM-O-27,27,54,instancias/optimalidad-prom/PROM-O-27.txt
optimalidad-prom,PROM-O-28,28,56,instancias/optimalidad-prom/PROM-O-28.txt
optimalidad-prom,PROM-O-29,29,58,instancias/optimalidad-prom/PROM-O-29.txt
optimalidad-prom,PROM-O-30,30,60,instancias/optimalidad-prom/PROM-O-30.txt
optimalidad-prom,PROM-O-31,31,62,instancias/optimalidad-prom/PROM-O-31.txt
optimalidad-prom,PROM-O-32,32,64,instancias/optimalidad-prom/PROM-O-32.txt
optimalidad-prom,PROM-O-33,33,66,instancias/optimalidad-prom/PROM-O-33.txt
optimalidad-prom,PROM-O-34,34,68,instancias/optimalidad-prom/PROM-O-34.txt
optimalidad-prom,PROM-O-35,35,70,instancias/optimalidad-prom/PROM-O-35.txt
optimalidad-prom,PROM-O-36,36,72,instancias/optimalidad-prom/PROM-O-36.txt
optimalidad-prom,PROM-O-37,37,74,instancias/optimalidad-prom/PROM-O-37.txt
optimalidad-prom,PROM-O-38,38,76,instancias/optimalidad-prom/PROM-O-38.txt
optimalidad-prom,PROM-O-39,39,78,instancias/optimalidad-prom/PROM-O-39.txt
optimalidad-prom,PROM-O-40,40,80,instancias/optimalidad-prom/PROM-O-40.txt
optimalidad-prom,PROM-O-41,41,82,instancias/optimalidad-prom/PROM-O-41.txt
optimalidad-prom,PROM-O-42,42,84,instancias/optimalidad-prom/PROM-O-42.txt
optimalidad-prom,PROM-O-43,43,86,instancias/optimalidad-prom/PROM-O-43.txt
optimalidad-prom,PROM-O-44,44,88,instancias/optimalidad-prom/PROM-O-44.txt
optimalidad-prom,PROM-O-45,45,90,instancias/optimalidad-prom/PROM-O-45.txt
optimalidad-prom,PROM-O-46,46,92,instancias/optimalidad-prom/PROM-O-46.txt
optimalidad-prom,PROM-O-47,47,94,instancias/optimalidad-prom/PROM-O-47.txt
optimalidad-prom,PROM-O-48,48,96,instancias/optimalidad-prom/PROM-O-48.txt
optimalidad-prom,PROM-O-49,49,98,instancias/optimalidad-prom/PROM-O-49.txt
optimalidad-prom,PROM-O-50,50,100,instancias/optimalidad-prom/PROM-O-50.txt
optimalidad-prom,PROM-O-51,51,102,instancias/optimalidad-prom/PROM-O-51.txt
optimalidad-prom,PROM-O-52,52,104,instancias/optimalidad-prom/PROM-O-52.txt
optimalidad-prom,PROM-O-53,53,106,instancias/optimalidad-prom/PROM-O-53.txt
optimalidad-prom,PROM-O-54,54,108,instancias/optimalidad-prom/PROM-O-54.txt
optimalidad-prom,PROM-O-55,55,110,instancias/optimalidad-prom/PROM-O-55.txt
optimalidad-prom,PROM-O-56,56,112,instancias/optimalidad-prom/PROM-O-56.txt
optimalidad-prom,PROM-O-57,57,114,instancias/optimalidad-prom/PROM-O-57.txt
optimalidad-prom,PROM-O-58,58,116,instancias/optimalidad-prom/PROM-O-58.txt
optimalidad-prom,PROM-O-59,59,118,instancias/optimalidad-prom/PROM-O-59.txt
optimalidad-prom,PROM-O-60,60,120,instancias/optimalidad-prom/PROM-O-60.txt
optimalidad-prom,PROM-O-61,61,122,instancias/optimalidad-prom/PROM-O-61.txt
optimalidad-prom,PROM-O-62,62,124,instancias/optimalidad-prom/PROM-O-62.txt
optimalidad-prom,PROM-O-63,63,126,instancias/optimalidad-prom/PROM-O-63.txt
optimalidad-prom,PROM-O-64,64,128,instancias/optimalidad-prom/PROM-O-64.txt
optimalidad-prom,PROM-O-65,65,130,instancias/optimalidad-prom/PROM-O-65.txt
optimalidad-prom,PROM-O-66,66,132,instancias/optimalidad-prom/PROM-O-66.txt
optimalidad-prom,PROM-O-67,67,134,instancias/optimalidad-prom/PROM-O-67.txt
optimalidad-prom,PROM-O-68,68,136,instancias/optimalidad-prom/PROM-O-68.txt
optimalidad-prom,PROM-O-69,69,138,instancias/optimalidad-prom/PROM-O-69.txt
optimalidad-prom,PROM-O-70,70,140,instancias/optimalidad-prom/PROM-O-70.txt
optimalidad-prom,PROM-O-71,71,142,instancias/optimalidad-prom/PROM-O-71.txt
optimalidad-prom,PROM-O-72,72,144,instancias/optimalidad-prom/PROM-O-72.txt
optimalidad-prom,PROM-O-73,73,146,instancias/optimalidad-prom/PROM-O-73.txt
optimalidad-prom,PROM-O-74,74,148,instancias/optimalidad-prom/PROM-O-74.txt
optimalidad-prom,PROM-O-75,75,150,instancias/optimalidad-prom/PROM-O-75.txt
optimalidad-prom,PROM-O-76,76,152,instancias/optimalidad-prom/PROM-O-76.txt
optimalidad-prom,PROM-O-77,77,154,instancias/optimalidad-prom/PROM-O-77.txt
optimalidad-prom,PROM-O-78,78,156,instancias/optimalidad-prom/PROM-O-78.txt
optimalidad-prom,PROM-O-79,79,158,instancias/optimalidad-prom/PROM-O-79.txt
optimalidad-prom,PROM-O-80,80,160,instancias/optimalidad-prom/PROM-O-80.txt
optimalidad-prom,PROM-O-81,81,162,instancias/optimalidad-prom/PROM-O-81.txt
optimalidad-prom,PROM-O-82,82,164,instancias/optimalidad-prom/PROM-O-82.txt
optimalidad-prom,PROM-O-83,83,166,instancias/optimalidad-prom/PROM-O-83.txt
optimalidad-prom,PROM-O-84,84,168,instancias/optimalidad-prom/PROM-O-84.txt
optimalidad-prom,PROM-O-85,85,170,instancias/optimalidad-prom/PROM-O-85.txt
optimalidad-prom,PROM-O-86,86,172,instancias/optimalidad-prom/PROM-O-86.txt
optimalidad-prom,PROM-O-87,87,174,instancias/optimalidad-prom/PROM-O-87.txt
optimalidad-prom,PROM-O-88,88,176,instancias/optimalidad-prom/PROM-O-88.txt
optimalidad-prom,PROM-O-89,89,178,instancias/optimalidad-prom/PROM-O-89.txt
optimalidad-prom,PROM-O-90,90,180,instancias/optimalidad-prom/PROM-O-90.txt
optimalidad-prom,PROM-O-91,91,182,instancias/optimalidad-prom/PROM-O-91.txt
optimalidad-prom,PROM-O-92,92,184,instancias/optimalidad-prom/PROM-O-92.txt
optimalidad-prom,PROM-O-93,93,186,instancias/optimalidad-prom/PROM-O-93.txt
optimalidad-prom,PROM-O-94,94,188,instancias/optimalidad-prom/PROM-O-94.txt
optimalidad-prom,PROM-O-95,95,190,instancias/optimalidad-prom/PROM-O-95.txt
optimalidad-prom,PROM-O-96,96,192,instancias/optimalidad-prom/PROM-O-96.txt
optimalidad-prom,PROM-O-97,97,194,instancias/optimalidad-prom/PROM-O-97.txt
