dataset,instancia,n,R,archivo
uniforme-alta,ALTA-1,1,2,instancias/uniforme-alta/ALTA-1.txt
uniforme-alta,ALTA-2,2,4,instancias/uniforme-alta/ALTA-2.txt
uniforme-alta,ALTA-3,3,6,instancias/uniforme-alta/ALTA-3.txt
uniforme-alta,ALTA-4,4,8,instancias/uniforme-alta/ALTA-4.txt
uniforme-alta,ALTA-5,5,10,instancias/uniforme-alta/ALTA-5.txt
uniforme-alta,ALTA-6,6,12,instancias/uniforme-alta/ALTA-6.txt
uniforme-alta,ALTA-7,7,14,instancias/uniforme-alta/ALTA-7.txt
uniforme-alta,ALTA-8,8,16,instancias/uniforme-alta/ALTA-8.txt
uniforme-alta,ALTA-9,9,18,instancias/uniforme-alta/ALTA-9.txt
uniforme-alta,ALTA-10,10,20,instancias/uniforme-alta/ALTA-10.txt
uniforme-alta,ALTA-11,11,22,instancias/uniforme-alta/ALTA-11.txt
uniforme-alta,ALTA-12,12,24,instancias/uniforme-alta/ALTA-12.txt
uniforme-alta,ALTA-13,13,26,instancias/uniforme-alta/ALTA-13.txt
uniforme-alta,ALTA-14,14,28,instancias/uniforme-alta/ALTA-14.txt
uniforme-alta,ALTA-15,15,30,instancias/uniforme-alta/ALTA-15.txt
uniforme-alta,ALTA-16,16,32,instancias/uniforme-alta/ALTA-16.txt
uniforme-alta,ALTA-17,17,34,instancias/uniforme-alta/ALTA-17.txt
uniforme-alta,ALTA-18,18,36,instancias/uniforme-alta/ALTA-18.txt
uniforme-alta,ALTA-19,19,38,instancias/uniforme-alta/ALTA-19.txt
uniforme-alta,ALTA-20,20,40,instancias/uniforme-alta/ALTA-20.txt
uniforme-alta,ALTA-21,21,42,instancias/uniforme-alta/ALTA-21.txt
uniforme-alta,ALTA-22,22,44,instancias/uniforme-alta/ALTA-22.txt
uniforme-alta,ALTA-23,23,46,instancias/uniforme-alta/ALTA-23.txt
uniforme-alta,ALTA-24,24,48,instancias/uniforme-alta/ALTA-24.txt
uniforme-alta,ALTA-25,25,50,instancias/uniforme-alta/ALTA-25.txt
uniforme-alta,ALTA-26,26,52,instancias/uniforme-alta/ALTA-26.txt
uniforme-alta,ALTA-27,27,54,instancias/uniforme-alta/ALTA-27.txt
uniforme-alta,ALTA-28,28,56,instancias/uniforme-alta/ALTA-28.txt
uniforme-alta,ALTA-29,29,58,instancias/uniforme-alta/ALTA-29.txt
uniforme-alta,ALTA-30,30,60,instancias/uniforme-alta/ALTA-30.txt
uniforme-alta,ALTA-31,31,62,instancias/uniforme-alta/ALTA-31.txt
uniforme-alta,ALTA-32,32,64,instancias/uniforme-alta/ALTA-32.txt
uniforme-alta,ALTA-33,33,66,instancias/uniforme-alta/ALTA-33.txt
uniforme-alta,ALTA-34,34,68,instancias/uniforme-alta/ALTA-34.txt
uniforme-alta,ALTA-35,35,70,instancias/uniforme-alta/ALTA-35.txt
uniforme-alta,ALTA-36,36,72,instancias/uniforme-alta/ALTA-36.txt
uniforme-alta,ALTA-37,37,74,instancias/uniforme-alta/ALTA-37.txt
uniforme-alta,ALTA-38,38,76,instancias/uniforme-alta/ALTA-38.txt
uniforme-alta,ALTA-39,39,78,instancias/uniforme-alta/ALTA-39.txt
uniforme-alta,ALTA-40,40,80,instancias/uniforme-alta/ALTA-40.txt
uniforme-alta,ALTA-41,41,82,instancias/uniforme-alta/ALTA-41.txt
uniforme-alta,ALTA-42,42,84,instancias/uniforme-alta/ALTA-42.txt
uniforme-alta,ALTA-43,43,86,instancias/uniforme-alta/ALTA-43.txt
uniforme-alta,ALTA-44,44,88,instancias/uniforme-alta/ALTA-44.txt
uniforme-alta,ALTA-45,45,90,instancias/uniforme-alta/ALTA-45.txt
uniforme-alta,ALTA-46,46,92,instancias/uniforme-alta/ALTA-46.txt
uniforme-alta,ALTA-47,47,94,instancias/uniforme-alta/ALTA-47.txt
uniforme-alta,ALTA-48,48,96,instancias/uniforme-alta/ALTA-48.txt
uniforme-alta,ALTA-49,49,98,instancias/uniforme-alta/ALTA-49.txt
uniforme-alta,ALTA-50,50,100,instancias/uniforme-alta/ALTA-50.txt
uniforme-alta,ALTA-51,51,102,instancias/uniforme-alta/ALTA-51.txt
uniforme-alta,ALTA-52,52,104,instancias/uniforme-alta/ALTA-52.txt
uniforme-alta,ALTA-53,53,106,instancias/uniforme-alta/ALTA-53.txt
uniforme-alta,ALTA-54,54,108,instancias/uniforme-alta/ALTA-54.txt
uniforme-alta,ALTA-55,55,110,instancias/uniforme-alta/ALTA-55.txt
uniforme-alta,ALTA-56,56,112,instancias/uniforme-alta/ALTA-56.txt
uniforme-alta,ALTA-57,57,114,instancias/uniforme-alta/ALTA-57.txt
uniforme-alta,ALTA-58,58,116,instancias/uniforme-alta/ALTA-58.txt
uniforme-alta,ALTA-59,59,118,instancias/uniforme-alta/ALTA-59.txt
uniforme-alta,ALTA-60,60,120,instancias/uniforme-alta/ALTA-60.txt
uniforme-alta,ALTA-61,61,122,instancias/uniforme-alta/ALTA-61.txt
uniforme-alta,ALTA-62,62,124,instancias/uniforme-alta/ALTA-62.txt
uniforme-alta,ALTA-63,63,126,instancias/uniforme-alta/ALTA-63.txt
uniforme-alta,ALTA-64,64,128,instancias/uniforme-alta/ALTA-64.txt
