dataset,instancia,n,R,archivo
uniforme-baja,BAJA-1,1,5,instancias/uniforme-baja/BAJA-1.txt
uniforme-baja,BAJA-2,2,10,instancias/uniforme-baja/BAJA-2.txt
uniforme-baja,BAJA-3,3,15,instancias/uniforme-baja/BAJA-3.txt
uniforme-baja,BAJA-4,4,20,instancias/uniforme-baja/BAJA-4.txt
uniforme-baja,BAJA-5,5,25,instancias/uniforme-baja/BAJA-5.txt
uniforme-baja,BAJA-6,6,30,instancias/uniforme-baja/BAJA-6.txt
uniforme-baja,BAJA-7,7,35,instancias/uniforme-baja/BAJA-7.txt
uniforme-baja,BAJA-8,8,40,instancias/uniforme-baja/BAJA-8.txt
uniforme-baja,BAJA-9,9,45,instancias/uniforme-baja/BAJA-9.txt
uniforme-baja,BAJA-10,10,50,instancias/uniforme-baja/BAJA-10.txt
uniforme-baja,BAJA-11,11,55,instancias/uniforme-baja/BAJA-11.txt
uniforme-baja,BAJA-12,12,60,instancias/uniforme-baja/BAJA-12.txt
uniforme-baja,BAJA-13,13,65,instancias/uniforme-baja/BAJA-13.txt
uniforme-baja,BAJA-14,14,70,instancias/uniforme-baja/BAJA-14.txt
uniforme-baja,BAJA-15,15,75,instancias/uniforme-baja/BAJA-15.txt
uniforme-baja,BAJA-16,16,80,instancias/uniforme-baja/BAJA-16.txt
uniforme-baja,BAJA-17,17,85,instancias/uniforme-baja/BAJA-17.txt
uniforme-baja,BAJA-18,18,90,instancias/uniforme-baja/BAJA-18.txt
uniforme-baja,BAJA-19,19,95,instancias/uniforme-baja/BAJA-19.txt
uniforme-baja,BAJA-20,20,100,instancias/uniforme-baja/BAJA-20.txt
uniforme-baja,BAJA-21,21,105,instancias/uniforme-baja/BAJA-21.txt
uniforme-baja,BAJA-22,22,110,instancias/uniforme-baja/BAJA-22.txt
uniforme-baja,BAJA-23,23,115,instancias/uniforme-baja/BAJA-23.txt
uniforme-baja,BAJA-24,24,120,instancias/uniforme-baja/BAJA-24.txt
uniforme-baja,BAJA-25,25,125,instancias/uniforme-baja/BAJA-25.txt
uniforme-baja,BAJA-26,26,130,instancias/uniforme-baja/BAJA-26.txt
uniforme-baja,BAJA-27,27,135,instancias/uniforme-baja/BAJA-27.txt
uniforme-baja,BAJA-28,28,140,instancias/uniforme-baja/BAJA-28.txt
uniforme-baja,BAJA-29,29,145,instancias/uniforme-baja/BAJA-29.txt
uniforme-baja,BAJA-30,30,150,instancias/uniforme-baja/BAJA-30.txt
uniforme-baja,BAJA-31,31,155,instancias/uniforme-baja/BAJA-31.txt
uniforme-baja,BAJA-32,32,160,instancias/uniforme-baja/BAJA-32.txt
uniforme-baja,BAJA-33,33,165,instancias/uniforme-baja/BAJA-33.txt
uniforme-baja,BAJA-34,34,170,instancias/uniforme-baja/BAJA-34.txt
uniforme-baja,BAJA-35,35,175,instancias/uniforme-baja/BAJA-35.txt
uniforme-baja,BAJA-36,36,180,instancias/uniforme-baja/BAJA-36.txt
uniforme-baja,BAJA-37,37,185,instancias/uniforme-baja/BAJA-37.txt
uniforme-baja,BAJA-38,38,190,instancias/uniforme-baja/BAJA-38.txt
uniforme-baja,BAJA-39,39,195,instancias/uniforme-baja/BAJA-39.txt
