dataset,n,R,metodo,tiempo
optimalidad-prom,1,2,BT-O,0.001156
optimalidad-prom,2,4,BT-O,0.00123
optimalidad-prom,3,6,BT-O,0.001241
optimalidad-prom,4,8,BT-O,0.001495
optimalidad-prom,5,10,BT-O,0.001727
optimalidad-prom,6,12,BT-O,0.001348
optimalidad-prom,7,14,BT-O,0.001707
optimalidad-prom,8,16,BT-O,0.001751
optimalidad-prom,9,18,BT-O,0.00162
optimalidad-prom,10,20,BT-O,0.001747
optimalidad-prom,11,22,BT-O,0.00194
optimalidad-prom,12,24,BT-O,0.001825
optimalidad-prom,13,26,BT-O,0.001961
optimalidad-prom,14,28,BT-O,0.00194
optimalidad-prom,15,30,BT-O,0.002023
optimalidad-prom,16,32,BT-O,0.002168
optimalidad-prom,17,34,BT-O,0.002136
optimalidad-prom,18,36,BT-O,0.002241
optimalidad-prom,19,38,BT-O,0.00215
optimalidad-prom,20,40,BT-O,0.002744
optimalidad-prom,21,42,BT-O,0.002501
optimalidad-prom,22,44,BT-O,0.002691
optimalidad-prom,23,46,BT-O,0.0024
optimalidad-prom,24,48,BT-O,0.002467
optimalidad-prom,25,50,BT-O,0.002967
optimalidad-prom,26,52,BT-O,0.002721
optimalidad-prom,27,54,BT-O,0.003304
optimalidad-prom,28,56,BT-O,0.003177
optimalidad-prom,29,58,BT-O,0.003097
optimalidad-prom,30,60,BT-O,0.003795
optimalidad-prom,31,62,BT-O,0.003151
optimalidad-prom,32,64,BT-O,0.003698
optimalidad-prom,33,66,BT-O,0.003637
optimalidad-prom,34,68,BT-O,0.003698
optimalidad-prom,35,70,BT-O,0.003933
optimalidad-prom,36,72,BT-O,0.004009
optimalidad-prom,37,74,BT-O,0.004392
optimalidad-prom,38,76,BT-O,0.004544
optimalidad-prom,39,78,BT-O,0.004496
optimalidad-prom,40,80,BT-O,0.004201
optimalidad-prom,41,82,BT-O,0.004429
optimalidad-prom,42,84,BT-O,0.005118
optimalidad-prom,43,86,BT-O,0.005063
optimalidad-prom,44,88,BT-O,0.005129
optimalidad-prom,45,90,BT-O,0.006418
optimalidad-prom,46,92,BT-O,0.005955
optimalidad-prom,47,94,BT-O,0.00551
optimalidad-prom,48,96,BT-O,0.005683
optimalidad-prom,49,98,BT-O,0.006993
optimalidad-prom,50,100,BT-O,0.007682
optimalidad-prom,51,102,BT-O,0.006653
optimalidad-prom,52,104,BT-O,0.006626
optimalidad-prom,53,106,BT-O,0.007706
optimalidad-prom,54,108,BT-O,0.007103
optimalidad-prom,55,110,BT-O,0.008622
optimalidad-prom,56,112,BT-O,0.007901
optimalidad-prom,57,114,BT-O,0.010463
optimalidad-prom,58,116,BT-O,0.010304
optimalidad-prom,59,118,BT-O,0.009905
optimalidad-prom,60,120,BT-O,0.0097
optimalidad-prom,61,122,BT-O,0.009907
optimalidad-prom,62,124,BT-O,0.010123
optimalidad-prom,63,126,BT-O,0.010355
optimalidad-prom,64,128,BT-O,0.009362
optimalidad-prom,65,130,BT-O,0.012293
optimalidad-prom,66,132,BT-O,0.013706
optimalidad-prom,67,134,BT-O,0.014312
optimalidad-prom,68,136,BT-O,0.012385
optimalidad-prom,69,138,BT-O,0.012898
optimalidad-prom,70,140,BT-O,0.014227
optimalidad-prom,71,142,BT-O,0.012847
optimalidad-prom,72,144,BT-O,0.015274
optimalidad-prom,73,146,BT-O,0.021878
optimalidad-prom,74,148,BT-O,0.018586
optimalidad-prom,75,150,BT-O,0.020892
optimalidad-prom,76,152,BT-O,0.019779
optimalidad-prom,77,154,BT-O,0.019613
optimalidad-prom,78,156,BT-O,0.022591
optimalidad-prom,79,158,BT-O,0.02266
optimalidad-prom,80,160,BT-O,0.022112
optimalidad-prom,81,162,BT-O,0.039414
optimalidad-prom,82,164,BT-O,0.031977
optimalidad-prom,83,166,BT-O,0.036142
optimalidad-prom,84,168,BT-O,0.034982
optimalidad-prom,85,170,BT-O,0.031585
optimalidad-prom,86,172,BT-O,0.033897
optimalidad-prom,87,174,BT-O,0.032105
optimalidad-prom,88,176,BT-O,0.03127
optimalidad-prom,89,178,BT-O,0.061873
optimalidad-prom,90,180,BT-O,0.06246
optimalidad-prom,91,182,BT-O,0.052774
optimalidad-prom,92,184,BT-O,0.070688
optimalidad-prom,93,186,BT-O,0.053043
optimalidad-prom,94,188,BT-O,0.067818
optimalidad-prom,95,190,BT-O,0.065813
optimalidad-prom,96,192,BT-O,0.054111
optimalidad-prom,97,194,BT-O,0.117781
optimalidad-prom,98,196,BT-O,0.099678
optimalidad-prom,99,198,BT-O,0.123205
optimalidad-prom,100,200,BT-O,0.11539
optimalidad-prom,101,202,BT-O,0.10863
optimalidad-prom,102,204,BT-O,0.123574
optimalidad-prom,103,206,BT-O,0.134535
optimalidad-prom,104,208,BT-O,0.110675
optimalidad-prom,105,210,BT-O,0.252591
optimalidad-prom,106,212,BT-O,0.20058
optimalidad-prom,107,214,BT-O,0.21543
optimalidad-prom,108,216,BT-O,0.209551
optimalidad-prom,109,218,BT-O,0.188308
optimalidad-prom,110,220,BT-O,0.217922
optimalidad-prom,111,222,BT-O,0.224731
optimalidad-prom,112,224,BT-O,0.184288
optimalidad-prom,113,226,BT-O,0.417031
optimalidad-prom,114,228,BT-O,0.376346
optimalidad-prom,115,230,BT-O,0.377506
optimalidad-prom,116,232,BT-O,0.42588
optimalidad-prom,117,234,BT-O,0.469092
optimalidad-prom,118,236,BT-O,0.418475
optimalidad-prom,119,238,BT-O,0.404818
optimalidad-prom,120,240,BT-O,0.418887
optimalidad-prom,121,242,BT-O,0.748415
optimalidad-prom,122,244,BT-O,0.864251
optimalidad-prom,123,246,BT-O,0.78977
optimalidad-prom,124,248,BT-O,0.809784
optimalidad-prom,125,250,BT-O,0.762549
optimalidad-prom,126,252,BT-O,0.911049
optimalidad-prom,127,254,BT-O,0.961801
optimalidad-prom,128,256,BT-O,0.763902
optimalidad-prom,129,258,BT-O,1.45844
optimalidad-prom,130,260,BT-O,1.49091
optimalidad-prom,131,262,BT-O,1.405
optimalidad-prom,132,264,BT-O,1.61856
optimalidad-prom,133,266,BT-O,1.56133
optimalidad-prom,134,268,BT-O,1.48971
optimalidad-prom,135,270,BT-O,1.45059
optimalidad-prom,136,272,BT-O,1.5378
optimalidad-prom,137,274,BT-O,2.7323
optimalidad-prom,138,276,BT-O,2.97265
optimalidad-prom,139,278,BT-O,2.93131
optimalidad-prom,140,280,BT-O,3.37731
optimalidad-prom,141,282,BT-O,2.93506
optimalidad-prom,142,284,BT-O,3.35423
optimalidad-prom,143,286,BT-O,3.46499
optimalidad-prom,144,288,BT-O,2.92537
optimalidad-prom,145,290,BT-O,6.99598
optimalidad-prom,146,292,BT-O,5.8033
optimalidad-prom,147,294,BT-O,5.51852
optimalidad-prom,148,296,BT-O,5.9612
optimalidad-prom,149,298,BT-O,5.22347
optimalidad-prom,150,300,BT-O,5.6679
optimalidad-prom,151,302,BT-O,5.58588
optimalidad-prom,152,304,BT-O,5.38193
optimalidad-prom,153,306,BT-O,12.0144
optimalidad-prom,154,308,BT-O,10.5183
optimalidad-prom,155,310,BT-O,14.3561
optimalidad-prom,156,312,BT-O,10.2341
optimalidad-prom,157,314,BT-O,10.48
optimalidad-prom,158,316,BT-O,13.4157
optimalidad-prom,159,318,BT-O,11.4431
optimalidad-prom,160,320,BT-O,10.3221
optimalidad-prom,161,322,BT-O,20.3545
optimalidad-prom,162,324,BT-O,20.4875
optimalidad-prom,163,326,BT-O,21.5157
optimalidad-prom,164,328,BT-O,20.3511
optimalidad-prom,165,330,BT-O,24.2256
optimalidad-prom,166,332,BT-O,20.3553
optimalidad-prom,167,334,BT-O,24.1071
optimalidad-prom,168,336,BT-O,20.3041
optimalidad-prom,169,338,BT-O,40.267
